               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099146,            0.032248,            0.054482,           0.0037905,             0.30869,           0.0092569,           0.0029875,            0.076281,            0.031231,            0.047702,             0.07008,           0.0033244,           0.0033244
                   1,            0.075972,            0.033068,            0.045334,             0.56825,            0.069258,            0.035837,            0.013435,            0.070681,            0.028202,             0.03997,            0.040014,           0.0065919,           0.0065919
                   2,            0.072405,             0.03198,            0.039739,             0.52528,             0.10376,            0.067003,            0.024219,            0.064957,            0.027935,            0.035206,           0.0098822,           0.0097933,           0.0097933
                   3,            0.068449,            0.032113,            0.035947,             0.36179,             0.13835,            0.097983,            0.042954,            0.061018,             0.02789,             0.03215,            0.009703,            0.009703,            0.009703
                   4,            0.065736,            0.032296,            0.033714,             0.50216,             0.15228,             0.12245,            0.049514,            0.059115,            0.027736,            0.029326,            0.009703,            0.009703,            0.009703
                   5,            0.063868,            0.030716,             0.03052,             0.59352,             0.17103,             0.15062,            0.062777,             0.05798,            0.027202,            0.027901,            0.009604,            0.009604,            0.009604
                   6,            0.062764,             0.03095,            0.029931,             0.33952,             0.20397,              0.1654,            0.070777,            0.057313,            0.026984,               0.026,            0.009505,            0.009505,            0.009505
                   7,            0.061413,            0.030407,            0.027994,             0.34336,             0.21673,              0.1685,            0.068461,            0.057761,            0.026638,            0.026341,            0.009406,            0.009406,            0.009406
                   8,            0.059819,            0.030118,            0.026143,             0.38115,             0.18572,             0.16033,            0.065781,            0.059896,            0.026329,            0.026186,            0.009307,            0.009307,            0.009307
                   9,             0.05994,            0.030207,            0.025253,             0.41033,             0.24356,             0.20943,            0.093097,            0.054518,            0.026726,            0.023515,            0.009208,            0.009208,            0.009208
                  10,            0.058472,            0.029743,             0.02496,             0.39432,             0.23463,             0.19447,            0.079633,            0.056555,            0.027143,             0.02432,            0.009109,            0.009109,            0.009109
                  11,            0.058399,            0.030048,            0.024476,             0.54066,             0.24259,             0.22476,            0.099387,            0.054842,             0.02621,            0.024219,             0.00901,             0.00901,             0.00901
                  12,            0.057222,            0.029409,            0.023184,             0.29353,              0.2839,             0.22662,             0.10459,            0.053829,            0.026239,            0.023107,            0.008911,            0.008911,            0.008911
                  13,            0.056792,            0.029686,            0.022101,             0.30143,             0.27082,             0.22247,             0.10206,              0.0546,            0.026121,            0.022813,            0.008812,            0.008812,            0.008812
                  14,            0.056209,             0.02965,            0.022001,             0.36867,             0.28305,             0.25423,             0.11364,            0.053995,             0.02625,            0.022532,            0.008713,            0.008713,            0.008713
                  15,            0.055921,            0.028806,            0.021006,             0.38725,             0.27559,             0.24747,             0.10977,            0.054039,            0.025881,            0.022924,            0.008614,            0.008614,            0.008614
                  16,            0.054749,            0.028291,            0.020439,             0.34298,              0.2979,             0.26022,              0.1185,            0.053643,            0.025531,            0.022181,            0.008515,            0.008515,            0.008515
                  17,            0.054743,            0.028421,             0.01963,             0.38272,             0.28114,             0.26905,             0.12422,            0.052896,            0.025686,            0.021298,            0.008416,            0.008416,            0.008416
                  18,            0.054255,            0.028552,            0.019552,             0.37758,             0.28723,             0.26957,             0.11941,            0.053205,            0.025653,             0.02107,            0.008317,            0.008317,            0.008317
                  19,            0.054289,            0.028528,            0.019386,             0.38324,             0.28534,             0.26698,             0.12042,            0.052813,            0.025597,            0.022085,            0.008218,            0.008218,            0.008218
                  20,            0.054086,            0.028585,            0.018745,             0.38429,             0.29607,             0.26758,             0.12239,            0.052143,            0.025953,            0.021739,            0.008119,            0.008119,            0.008119
                  21,            0.053002,            0.028422,            0.017361,             0.41191,             0.27548,             0.27961,             0.12991,            0.052743,            0.025739,            0.021047,             0.00802,             0.00802,             0.00802
                  22,            0.052044,            0.027954,            0.017515,             0.37956,             0.26697,             0.27144,             0.12413,            0.052689,            0.025604,            0.021892,            0.007921,            0.007921,            0.007921
                  23,            0.051656,            0.027808,            0.016851,             0.39168,              0.2987,             0.27904,             0.12984,            0.052078,            0.025539,            0.022668,            0.007822,            0.007822,            0.007822
                  24,             0.05147,            0.027685,            0.016013,             0.39916,             0.28503,             0.29428,             0.13598,             0.05269,            0.025609,            0.022718,            0.007723,            0.007723,            0.007723
